Date,cash,shares_a,shares_b,position,equity,costs,price_a,price_b,returns
2023-01-10,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,56.38221740722656,159.65872192382812,0.0
2023-01-11,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,56.27330780029297,159.83827209472656,0.0
2023-01-12,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.547325134277344,157.80044555664062,0.0
2023-01-13,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.74696731567383,157.31568908691406,0.0
2023-01-17,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.97384643554688,158.0518035888672,0.0
2023-01-18,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.27683639526367,154.06594848632812,0.0
2023-01-19,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.19517135620117,152.279541015625,0.0
2023-01-20,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.5218620300293,152.50393676757812,0.0
2023-01-23,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.657981872558594,151.82164001464844,0.0
2023-01-24,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.94837951660156,153.23109436035156,0.0
2023-01-25,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.29322814941406,154.34425354003906,0.0
2023-01-26,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.184329986572266,152.8091278076172,0.0
2023-01-27,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.8939323425293,152.2705078125,0.0
2023-01-30,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.03005599975586,152.14483642578125,0.0
2023-01-31,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.64714813232422,153.52734375,0.0
2023-02-01,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,55.65621566772461,154.01210021972656,0.0
2023-02-02,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.70336151123047,152.584716796875,0.0
2023-02-03,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.29498672485352,151.82164001464844,0.0
2023-02-06,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.60353469848633,154.2454833984375,0.0
2023-02-07,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.51278305053711,154.01210021972656,0.0
2023-02-08,99041.87939161518,0.0,0.0,0,99041.87939161518,0.0,54.19517135620117,153.6529998779297,0.0
